Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Demolition Derby","Crowbar Crag > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106900451/demolition-derby,2.7,-1,Sport,5.7,1,50,47.56361,-120.78311
"Horn of Plenty","Crowbar Crag > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106900467/horn-of-plenty,1.8,-1,Sport,5.8,1,65,47.56361,-120.78311
Steppinfetchit,"Crowbar Crag > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122493103/steppinfetchit,-1.0,-1,Sport,5.10a,1,70,47.56361,-120.78311
"Neutrino Bambino","DUSEL Dome > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106900485/neutrino-bambino,2.0,-1,"Trad, Sport",5.7,1,100,47.56263,-120.78236
Superbeamer,"DUSEL Dome > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106900495/superbeamer,1.3,-1,"Trad, Sport",5.9,1,100,47.56263,-120.78236
Sinistral,"Little Bridge Creek Rock > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123063386/sinistral,3.0,-1,Sport,5.13d,1,25,47.56738,-120.78287
"Seizure Salad","Minerva Crag > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114209783/seizure-salad,2.0,-1,Sport,5.8,1,75,47.5661,-120.77868
Calliope,"Minerva Crag > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114210302/calliope,2.8,-1,Sport,5.9+,1,70,47.5661,-120.77868
Dominatrix,"Minerva Crag > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/114210202/dominatrix,3.0,-1,Sport,5.10b,1,70,47.5661,-120.77868
"Brain Bus","Buena Vista Buttress > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117849087/brain-bus,2.5,-1,Sport,5.10-,1,45,47.56701,-120.77932
"Sins of the Fathers","Buena Vista Buttress > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122520177/sins-of-the-fathers,3.0,-1,Sport,5.10-,1,90,47.56701,-120.77932
Santeria,"Buena Vista Buttress > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122520190/santeria,-1.0,-1,Sport,5.10-,1,90,47.56701,-120.77932
"Route 7","Twinkie > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117849236/route-7,1.3,-1,"Trad, TR",5.7,1,35,47.56748,-120.77956
"Route 5","Twinkie > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117849264/route-5,1.3,-1,"Trad, TR",5.7,1,35,47.56748,-120.77956
"Route 3","Twinkie > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117849159/route-3,2.0,-1,"Trad, TR",5.9,1,35,47.56748,-120.77956
"Route 4","Twinkie > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117849202/route-4,2.0,-1,TR,5.11-,1,35,47.56748,-120.77956
Browser,"Browser > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117887675/browser,2.8,-1,Sport,5.10-,1,45,47.56755,-120.78121
"Totally Lips","Little Rascals > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122518780/totally-lips,0.0,-1,Sport,5.7,1,40,47.5675,-120.78071
"Rather Wheezy","Little Rascals > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117887811/rather-wheezy,2.0,-1,Sport,5.10b,1,35,47.5675,-120.78071
"Little Grunty","Little Rascals > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117887793/little-grunty,2.0,-1,Sport,5.11b,1,35,47.5675,-120.78071
"Men Who Pause","Men Who Pause > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117888077/men-who-pause,2.0,-1,Sport,5.6,1,55,47.56673,-120.77832
Gilligan,"The Helm > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119633438/gilligan,2.5,-1,Sport,5.11d,1,50,47.56595,-120.77979
"The Skipper","The Helm > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119005591/the-skipper,2.7,-1,Sport,5.12a,1,50,47.56595,-120.77979
